,사용월,호선명,지하철역,작업일자,time,승하차구분 ,population
267,201601,경의선,가좌,20160208,17시-18시,승차,7188
268,201601,경의선,가좌,20160208,17시-18시,하차,8152
269,201601,경의선,가좌,20160208,18시-19시,승차,6916
270,201601,경의선,가좌,20160208,18시-19시,하차,10653
271,201601,경의선,가좌,20160208,19시-20시,승차,4110
272,201601,경의선,가좌,20160208,19시-20시,하차,10549
273,201601,경의선,가좌,20160208,20시-21시,승차,2983
274,201601,경의선,가좌,20160208,20시-21시,하차,6672
275,201601,경의선,가좌,20160208,21시-22시,승차,2519
276,201601,경의선,가좌,20160208,21시-22시,하차,5750
277,201601,경의선,가좌,20160208,22시-23시,승차,1977
278,201601,경의선,가좌,20160208,22시-23시,하차,4337
279,201601,경의선,가좌,20160208,23시-24시,승차,841
280,201601,경의선,가좌,20160208,23시-24시,하차,3931
281,201601,경의선,가좌,20160208,00시-01시,승차,33
282,201601,경의선,가좌,20160208,00시-01시,하차,720
283,201601,경의선,가좌,20160208,01시-02시,승차,1
284,201601,경의선,가좌,20160208,01시-02시,하차,1
285,201601,경의선,가좌,20160208,02시-03시,승차,0
286,201601,경의선,가좌,20160208,02시-03시,하차,0
287,201601,경의선,가좌,20160208,03시-04시,승차,0
288,201601,경의선,가좌,20160208,03시-04시,하차,0
289,201601,경의선,디지털미디어시티,20160208,04시-05시,승차,6
290,201601,경의선,디지털미디어시티,20160208,04시-05시,하차,2
291,201601,경의선,디지털미디어시티,20160208,05시-06시,승차,846
292,201601,경의선,디지털미디어시티,20160208,05시-06시,하차,186
293,201601,경의선,디지털미디어시티,20160208,06시-07시,승차,1919
294,201601,경의선,디지털미디어시티,20160208,06시-07시,하차,840
295,201601,경의선,디지털미디어시티,20160208,07시-08시,승차,6227
296,201601,경의선,디지털미디어시티,20160208,07시-08시,하차,2013
297,201601,경의선,디지털미디어시티,20160208,08시-09시,승차,6155
298,201601,경의선,디지털미디어시티,20160208,08시-09시,하차,3917
299,201601,경의선,디지털미디어시티,20160208,09시-10시,승차,3695
300,201601,경의선,디지털미디어시티,20160208,09시-10시,하차,2752
301,201601,경의선,디지털미디어시티,20160208,10시-11시,승차,3126
302,201601,경의선,디지털미디어시티,20160208,10시-11시,하차,2288
