연간소득,직급1,자격증,성별1,혼인상태1,최종학력1
4100,생산직 반장급,아니오,남,기혼,인문고졸
3900,대리급,아니오,남,기혼,공고졸
4000,대리급,아니오,남,기혼,공고졸
3900,생산직 반장급,아니오,남,기혼,공고졸
5200,대리급,아니오,남,기혼,공고졸
4000,생산직 반장급,아니오,남,기혼,공고졸
3800,생산직 반장급,아니오,남,기혼,공고졸
3600,생산직 반장급,아니오,남,기혼,공고졸
8500,부장급,아니오,남,기혼,4년제졸
10658,부장급,아니오,남,기혼,4년제졸
5000,차장급,아니오,남,기혼,4년제졸
2400,사원급,예,남,미혼,4년제졸
NA,과장급,아니오,남,기혼,4년제졸
2200,사원급,예,남,미혼,4년제졸
4000,과장급,아니오,여,기혼,4년제졸
NA,대리급,아니오,남,기혼,석사졸
3200,과장급,아니오,여,기혼,4년제졸
7000,부장급,아니오,남,기혼,4년제졸
NA,과장급,아니오,남,기혼,4년제졸
4900,부장급,아니오,남,기혼,4년제졸
3000,과장급,아니오,남,기혼,4년제졸
NA,사원급,아니오,여,미혼,4년제졸
2100,사원급,아니오,여,미혼,전문대졸
4305,차장급,아니오,남,기혼,석사졸
2800,대리급,아니오,여,미혼,전문대졸
2800,대리급,아니오,여,기혼,4년제졸
4000,부장급,아니오,여,기혼,4년제졸
4000,차장급,아니오,남,기혼,4년제졸
NA,차장급,예,여,기혼,4년제졸
2900,대리급,아니오,남,기혼,석사졸
NA,차장급,아니오,여,미혼,석사졸
4200,과장급,예,남,기혼,4년제졸
6000,부장급,아니오,남,기혼,석사졸
NA,사원급,예,남,미혼,4년제졸
NA,사원급,아니오,남,미혼,4년제졸
NA,과장급,아니오,여,기혼,4년제졸
4500,과장급,예,남,미혼,석사졸
NA,대리급,아니오,여,미혼,4년제졸
NA,사원급,아니오,여,미혼,4년제졸
3700,과장급,예,남,미혼,석사졸
6000,임원급,예,남,기혼,4년제졸
5500,임원급,아니오,남,기혼,4년제졸
3000,사원급,아니오,여,미혼,전문대졸
NA,임원급,예,남,기혼,4년제졸
6400,임원급,예,남,기혼,4년제졸
5600,임원급,예,남,기혼,4년제졸
6000,임원급,예,남,기혼,4년제졸
5600,임원급,예,남,기혼,4년제졸
5200,부장급,예,여,기혼,석사졸
6000,임원급,예,남,기혼,전문대졸
NA,부장급,아니오,남,기혼,4년제졸
NA,차장급,예,남,기혼,4년제졸
NA,대리급,예,남,미혼,4년제졸
NA,사원급,아니오,남,미혼,4년제졸
NA,주임/계장,아니오,남,기혼,4년제졸
5000,과장급,아니오,남,기혼,4년제졸
5000,대리급,아니오,남,기혼,4년제졸
NA,사원급,아니오,여,미혼,4년제졸
8400,부장급,아니오,남,기혼,4년제졸
